= Physics/Vehicle coverage triage =
=
= Every name tools/coverage.sh Vehicle reports as unmatched, classified. The
= tool matches literally, so a name here is not evidence of a gap: it
= over-counts solver internals that must never cross a C boundary, and it
= misses bindings whose declaration wraps onto a second line or whose return
= type contains a digit (uint32_t/int32_t) — its `bound` regex character class
= excludes digits, so those declarations are invisible to it.
=
= NAME  CATEGORY  reason
GetRightRatio  BOUND_ELSEWHERE  zjoltVehicleConstraintGetTrackedRightRatio.
GetSteerAngle  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelSteerAngle.
GetSuspensionLambda  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelSuspensionLambda.
GetSuspensionLength  BOUND_ELSEWHERE  zjoltVehicleConstraintGetWheelSuspensionLength.
GetTireMaxImpulseCallback  REAL_GAP  bound as zjoltVehicleConstraintGetTireMaxImpulseCallback.
GetTorque  REAL_GAP  bound as zjoltVehicleConstraintGetEngineTorque — reaching it otherwise means re-implementing Jolt's LinearCurve sampling of the torque curve at the current RPM.
GetTracks  REAL_GAP  bound as zjoltVehicleConstraintGetTrackAngularVelocity / SetTrackAngularVelocity; a tracked vehicle's track speed (what a track mesh or texture scroll is driven from) had no accessor.
GetTransmission  BOUND_ELSEWHERE  zjoltVehicleConstraintGetCurrentGear / IsSwitchingGear / GetClutchFriction / GetGearRatio / SetGear; its settings are creation-time via ZJoltVehicleTransmissionDesc.
GetVehicleBody  BOUND_ELSEWHERE  zjoltVehicleConstraintGetBodyId. A raw Body* never crosses this ABI; the id does.
GetVehicleCollisionTester  BOUND_ELSEWHERE  zjoltVehicleConstraintGetCollisionTesterKind, plus zjoltVehicleConstraintGetWheelFilters for the filters it carries.
GetWheelBase  BOUND_ELSEWHERE  zjoltVehicleConstraintGetMotorcycleWheelBase.
GetWheelSpeedAtClutch  REAL_GAP  bound as zjoltVehicleConstraintGetWheelSpeedAtClutch — the driven-wheel speed measured at the clutch, which is what a clutch-slip readout or engine-audio blend needs.
HasContact  BOUND_ELSEWHERE  zjoltVehicleConstraintHasWheelContact.
HasHitHardPoint  BOUND_ELSEWHERE  zjoltVehicleConstraintHasWheelHitHardPoint.
IsLeanControllerEnabled  BOUND_ELSEWHERE  zjoltVehicleConstraintIsMotorcycleLeanControllerEnabled.
IsLeanSteeringLimitEnabled  BOUND_ELSEWHERE  zjoltVehicleConstraintIsMotorcycleLeanSteeringLimitEnabled.
IsSwitchingGear  BOUND_ELSEWHERE  zjoltVehicleConstraintIsSwitchingGear.
MotorcycleController  EXTENSION_POINT  a VehicleController subclass; reached as ZJOLT_VEHICLE_CONTROLLER_KIND_MOTORCYCLE plus ZJoltVehicleMotorcycleDesc.
PredictContactProperties  EXTENSION_POINT  a pure virtual of VehicleCollisionTester, called by VehicleConstraint::OnStep (VehicleConstraint.cpp:223) on the steps it skips a full test. Reached by choosing a ZJoltVehicleCollisionTesterKind rather than by subclassing.
RestoreBinaryState  BOUND_ELSEWHERE  settings serialisation (StreamIn). ZJoltVehicleConstraintDesc plus zjoltVehicleConstraintCreate is this ABI's rebuild path; runtime state is zjoltPhysicsSystemRestoreState in zjolt_state.h.
SaveBinaryState  BOUND_ELSEWHERE  settings serialisation (StreamOut); same pair — ZJoltVehicleConstraintDesc for configuration, zjoltPhysicsSystemSaveState for runtime state.
SetBodyFilter  REAL_GAP  bound as ZJoltVehicleWheelFilters.body via zjoltVehicleConstraintSetWheelFilters.
SetBrakeInput  BOUND_ELSEWHERE  zjoltVehicleConstraintSetWheeledDriverInput / SetTrackedDriverInput set all four inputs at once, and every one of them has a getter, so a single-input change is a read-modify-write rather than a missing entry point.
SetBroadPhaseLayerFilter  REAL_GAP  bound as ZJoltVehicleWheelFilters.broad_phase_layer.
SetCurrentRPM  REAL_GAP  bound as zjoltVehicleConstraintSetEngineRpm — needed to launch with revs on, or to restore a drivetrain after a teleport.
SetDifferentialLimitedSlipRatio  REAL_GAP  bound as zjoltVehicleConstraintSetDifferentialLimitedSlipRatio.
SetDriverInput  BOUND_ELSEWHERE  zjoltVehicleConstraintSetWheeledDriverInput and zjoltVehicleConstraintSetTrackedDriverInput.
SetForwardInput  BOUND_ELSEWHERE  as SetBrakeInput: the four-input setter plus the four getters.
SetHandBrakeInput  BOUND_ELSEWHERE  as SetBrakeInput.
SetLeanSmoothingFactor  REAL_GAP  bound as zjoltVehicleConstraintSetMotorcycleLeanSpring's lean_smoothing_factor.
SetLeanSpringConstant  REAL_GAP  bound as zjoltVehicleConstraintSetMotorcycleLeanSpring's spring_constant.
SetLeanSpringDamping  REAL_GAP  bound as zjoltVehicleConstraintSetMotorcycleLeanSpring's spring_damping.
SetLeanSpringIntegrationCoefficient  REAL_GAP  bound as zjoltVehicleConstraintSetMotorcycleLeanSpring's spring_integration_coefficient.
SetLeanSpringIntegrationCoefficientDecay  REAL_GAP  bound as zjoltVehicleConstraintSetMotorcycleLeanSpring's spring_integration_coefficient_decay.
SetObjectLayerFilter  REAL_GAP  bound as ZJoltVehicleWheelFilters.object_layer.
SetPostCollideCallback  REAL_GAP  bound as zjoltVehicleConstraintSetPostCollideCallback.
SetPostStepCallback  REAL_GAP  bound as zjoltVehicleConstraintSetPostStepCallback.
SetPreStepCallback  REAL_GAP  bound as zjoltVehicleConstraintSetPreStepCallback.
SetRightInput  BOUND_ELSEWHERE  as SetBrakeInput.
SetRotationAngle  BOUND_ELSEWHERE  zjoltVehicleConstraintSetWheelRotationAngle.
SetRPMMeter  REAL_GAP  bound as zjoltVehicleConstraintSetRpmMeter — zjolt exposes zjoltPhysicsSystemDrawConstraints, which draws the controller's RPM meter, and its placement had no knob. Reports ZJOLT_RESULT_UNSUPPORTED when the library was built without JPH_DEBUG_RENDERER.
SetSteerAngle  BOUND_ELSEWHERE  zjoltVehicleConstraintSetWheelSteerAngle.
SetTireMaxImpulseCallback  REAL_GAP  bound as zjoltVehicleConstraintSetTireMaxImpulseCallback.
SetupVelocityConstraint  INTERNAL  per-tick solver stage, Constraint override.
SetVehicleCollisionTester  REAL_GAP  bound as zjoltVehicleConstraintSetCollisionTester — swapping a distant vehicle down to a ray tester (and back) at runtime had no route; the tester was fixed at creation.
SolveLateralConstraintPart  INTERNAL  per-tick solver stage; Wheel.h calls it "internal, should only be called by the controller".
SolveLongitudinalConstraintPart  INTERNAL  per-tick solver stage; same comment in Wheel.h.
SolvePositionConstraint  INTERNAL  per-tick solver stage, Constraint override.
SolveVelocityConstraint  INTERNAL  per-tick solver stage, Constraint override.
Stiffness  REAL_GAP  VehicleAntiRollBar::mStiffness; bound as ZJoltVehicleAntiRollBarDesc.stiffness read through zjoltVehicleConstraintGetAntiRollBar and written by zjoltVehicleConstraintSetAntiRollBarStiffness.
TrackedVehicleController  EXTENSION_POINT  a VehicleController subclass; reached as ZJOLT_VEHICLE_CONTROLLER_KIND_TRACKED plus the track fields of ZJoltVehicleConstraintDesc.
TrackedVehicleControllerSettings  EXTENSION_POINT  the settings half of the same subclass pair; same kind plus desc.
VehicleCollisionTesterCastSphere  EXTENSION_POINT  reached as ZJOLT_VEHICLE_COLLISION_TESTER_KIND_CAST_SPHERE in ZJoltVehicleCollisionTesterDesc.
VehicleCollisionTesterRay  EXTENSION_POINT  reached as ZJOLT_VEHICLE_COLLISION_TESTER_KIND_RAY in ZJoltVehicleCollisionTesterDesc.
VehicleController  EXTENSION_POINT  the base a C++ host subclasses to write a controller; ZJoltVehicleControllerKind plus the per-kind desc structs give the same power without a mirrored vtable.
VehicleEngineSettings  BOUND_ELSEWHERE  ZJoltVehicleEngineDesc and zjoltVehicleEngineDescInit, carried in ZJoltVehicleConstraintDesc.engine.
WarmStartVelocityConstraint  INTERNAL  per-tick solver stage, Constraint override.
WheeledVehicleController  EXTENSION_POINT  a VehicleController subclass; reached as ZJOLT_VEHICLE_CONTROLLER_KIND_WHEELED.
WheelSettingsWV  EXTENSION_POINT  the wheeled half of Jolt's ConstructWheel subclass pair; reached through the wheeled fields of ZJoltVehicleWheelDesc, selected by the constraint's ZJoltVehicleControllerKind.
WheelTV  EXTENSION_POINT  the tracked runtime wheel of that same pair; reached through the tracked fields of ZJoltVehicleWheelDesc plus the per-wheel accessors on ZJoltVehicleConstraint.
WheelWV  EXTENSION_POINT  the wheeled runtime wheel of that same pair; same route.

= Counts: INTERNAL 17, EXTENSION_POINT 12, BOUND_ELSEWHERE 42, REAL_GAP 36 (107 total).
